study,intervention,study_type,country,region,immunised,total,uptake,CI_lower,CI_upper
Cantais et al. (2024),nirsevimab,Population,France,Auvergne Rhône‐Alpes region,572,748,76.50%,,
Pooled uptake,nirsevimab,Population,Spain,,,,90.10%,86.40%,92.90%
Barbas del Buey et al. (2024),nirsevimab,Population,Spain,Madrid,29684,37281,79.60%,,
Coma et al. (2024),nirsevimab,Population,Spain,Catalonia,23127,26525,87.20%,,
Pérez Martín and Zornoza Moreno (2024),nirsevimab,Population,Spain,"Valencia, Murcia and Valladolid",11560,13086,88.30%,,
Estrella-Porter et al. (2024),nirsevimab,Population,Spain,"Valencia, Murcia and Valladolid",24223,27362,88.50%,,
Perramon-Malavez et al. (2025),nirsevimab,Population,Spain,Catalonia,14055,15341,91.60%,,
Ezpeleta et al. (2024),nirsevimab,Population,Spain,Navarre,1083,1177,92.00%,,
Mallah et al. (2024),nirsevimab,Population,Spain,Galicia,13320,14476,92.00%,,
Ares-Gómez et al. (2024),nirsevimab,Population,Spain,Galicia,348,360,96.70%,,
Pooled uptake,nirsevimab,Population,USA,,,,51.20%,29.30%,72.70%
Homo et al. (2024),nirsevimab,Population,USA,south,220,289,76.10%,,
Kemp et al. (2025),nirsevimab,Population,USA,northeast,5056,27788,18.20%,,
Lefferts et al. (2024),nirsevimab,Population,USA,west,756,1591,47.50%,,
Puckett et al. (2025),nirsevimab,Population,USA,west,794,1110,71.50%,,
Razzaghi et al. (2024),nirsevimab,Population,USA,west,58,159,36.50%,,
Razzaghi et al. (2024),nirsevimab,Population,USA,northeast,51,116,44.00%,,
Razzaghi et al. (2024),nirsevimab,Population,USA,south,180,379,47.50%,,
Razzaghi et al. (2024),nirsevimab,Population,USA,midwest,103,212,48.60%,,
Pooled uptake,maternal_vaccine,Population,USA,,,,30.50%,20.60%,42.60%
Kemp et al. (2025),maternal_vaccine,Population,USA,northeast,4767,27788,17.20%,,
Son et al. (2024),maternal_vaccine,Population,USA,northeast,1011,2973,34.00%,,
Homo et al. (2024),maternal_vaccine,Population,USA,south,211,500,42.20%,,
Razzaghi et al. (2024),maternal_vaccine,Population,USA,northeast,33,86,38.40%,,
Razzaghi et al. (2024),maternal_vaccine,Population,USA,midwest,60,163,36.80%,,
Razzaghi et al. (2024),maternal_vaccine,Population,USA,south,89,299,29.80%,,
Razzaghi et al. (2024),maternal_vaccine,Population,USA,west,39,130,30.00%,,
Pooled uptake,elderly_vaccine,Population,USA,,,,18.20%,10.80%,28.90%
Reses et al. (2023),elderly_vaccine,Population,USA,Unspecified,23368,238449,9.80%,,
Motta et al. (2025),elderly_vaccine,Population,USA,Unspecified,50,358,14.00%,,
Geng et al. (2024),elderly_vaccine,Population,USA,south,3223,16114,20.00%,,
Geng et al. (2024),elderly_vaccine,Population,USA,northeast,1598,7366,21.70%,,
Geng et al. (2024),elderly_vaccine,Population,USA,midwest,2349,10214,23.00%,,
Geng et al. (2024),elderly_vaccine,Population,USA,west,3970,15628,25.40%,,
Birabaharan et al. (2024),elderly_vaccine,Population,USA,Unspecified,99822,357814,27.90%,,
Ernst et al. (2024),nirsevimab,Population,Luxembourg,Luxembourg,1277,1524,83.80%,,
Consolati et al. (2024),nirsevimab,Population,Italy,Valle d'Aosta,369,537,68.70%,,
Agüera et al. (2024),nirsevimab,Hospital_based,Spain,Unspecified,109,181,60.20%,,
Agüera et al. (2024),nirsevimab,Hospital_based,Andorra,Unspecified,109,181,60.20%,,
